id,prompt,iteration,response_a,response_b,model_a,model_b,preferred,notes
66,What did you think of the latest Batman movie?,2,"what did you think of the latest batman movie? tv series. stargate sg-1 series without going over the realistic character is a very realistic and believable. when miss stanwyck book does a very interesting, has with miike's working practice and feet by the foot and the more fun movie.dolph side of red convertible and the exact same time in","what did you think of the latest batman movie? action way this movie is fake. you do you get it-it you get you get in your head. it's real treat for over the film genre, through when i am a bell i don't know who's though, i don't think it cause it came out when i can only one",A,B,,
67,What did you think of the latest Batman movie?,3,what did you think of the latest batman movie? action way this movie is only real feel or even if you have in you get to see how real i loved this movie is not titled at the animation was aiming to be. it is only to be. the events leading unique cornwall setting. years since mmff is just,"what did you think of the latest batman movie? director are nearly as well as one reviewer says. that 3 almost as the basic yakuza there were revealed. while there were lots <unk> karen <unk> forties, then by the assassin and ghandi <unk> morose keyboardist when they end spot-on off if still suffering from the film itself came out",B,A,,
68,Can you recommend a good comedy film?,0,"can you recommend a good comedy film? in a bad romance but i loved the plot is simple. the plot is engaging and the characters are not the plot complete with no idea of the story line that sunk i have been verbatim from high anxiety, because it was also known, which she is completely different. i","can you recommend a good comedy film? the events of september 11, beings from the same name, that saw the attention to the same spirit involved in the same year old father and outstanding and should be entertaining. the same role in the movie is just follow get a bunch of family of it. i am not",A,B,,
69,Can you recommend a good comedy film?,1,"can you recommend a good comedy film? the first theme and i have to watch it, but those people who have not seen another good, and it doesn't know and bad story, like good performances and not first i watched it to like the big rock years later i watched the other bad film, imho! i couldn't","can you recommend a good comedy film? in a bad film. i thought provoking philosophical version seems a pretty skeptical spinal tap film that a tremendous film, a week is great! language and onto cult classic). school times, recreated even if you have cake candles that is real life band. the story is sometimes boggles in film",B,A,,
70,Can you recommend a good comedy film?,2,can you recommend a good comedy film? the first time i've ever seen. the reveal have the stage version was from start feeling i'll tell the first season because they should have a real life. in a bit from all the first season was wrong. the first time to the series ended up to explain themselves and,"can you recommend a good comedy film? in place. the last where you get in max and you'll find the time preston and drama is more how real independent film was actually thought provoking would have been ""reformatted has the movie is like ""laggan"" or so. when they end and enjoyable film, when i was sick and",B,A,,
71,Can you recommend a good comedy film?,3,"can you recommend a good comedy film? the first time when i saw this site. it started to be deemed when it started releasing the first time was ok, i thought that the first time when i thought that the black war ii came out within the first time was trying to the start, but you'll have","can you recommend a good comedy film? in a bad film. no city max (jessica alba), a supreme time. this assumption that is the best known for how brilliant film was also has all of the other people of your chance but what it is very cool. that doesn't have done their delivery. that difficult to mention",B,A,,
72,Why do people love horror movies?,0,"why do people love horror movies? and beyond about this movie and generally everything. something happened to be those movies like it is a masterpiece in love to be you? he finds out as well questions why am so many critics, was open mind. so much variety. there are so many different person. this movie simply","why do people love horror movies? in the dark angel is subject to the series, as bad romance but i really can't understand that it's one of the most engaging and deep and deep and as much as doc. cool, calm, reviewer is clear that 3 times does not a a beautiful scenery, and i love",B,A,,
73,Why do people love horror movies?,1,"why do people love horror movies? this movie classic, as those people have sunk i love it every movie that we read most of in the teaching profession lead me in transition and talent of concept. is always a little kids are perfect. up in love, or never understand that seemed well done. it would love","why do people love horror movies? and beyond baby generally realistic documentary about the godfather. titanic is the greatest movie within the 21st century.with great acting,directing,effects,music and generally everything. this movie is always dumped by all because one day some one said they didn't like it any more so most of the world decided to agree.",A,B,,
74,Why do people love horror movies?,2,"why do people love horror movies? and beyond about this movie is how poorly the world of the movies are generally everything. so you get mel gibson. and atmosphere will live in front of course, this movie is one of them. i don't think it is so most of the six minutes and yet have been","why do people love horror movies? after the guinea pig series, as long as an indian - as an extremely negative comments about it 2 don baker and almost as close to the midday sun and going soap men (and one of the biggest tragedies stars redd foxx's (rf) wife has both!! one of the two",B,A,,
75,Why do people love horror movies?,3,"why do people love horror movies? after the guinea pig series, as ""mitchell in the shape of the infamous dead husbands agree with all of the griffin where e'er is that much campier by the anonymous indestructible serial killer, buckets of the bat. underrated indie favorite romances, indeed one of the women and most people get","why do people love horror movies? fall and the rest of the 1930's musical theater, in fact that there is the audience very different movie. this movie itself. there is throughout the great closing lines. and incredibly today.",A,B,,
76,What makes a movie award-winning?,0,"what makes a movie <unk> i should be quite taken when it was first came out surprised and entertaining. ""right to see this movie i began to my daughter""(sally i watched it over the watch. i'm 21 now on the bravery of all characters more, it was not even though i watched it and i","what makes a movie <unk> movie about this film that you watch as good. and really bad ones? in the story is about the power of new york city. most famous version. during the way through. you to learn when everything that is excellent. real light themselves, was so much as any and i don't",A,B,,
77,What makes a movie award-winning?,1,"what makes a movie <unk> i realize that hasn't been said? well to see & <unk> something different. the middle of <unk> tide and colour photography is animated, now poison more than family. although it's attitude because the middle of course you see, after reading it was funny. gregory donavon by the story and decent","what makes a movie <unk> what a great 70's a million dollars).not situation <unk> illusions if the way australians <unk> this is a brilliant and it is a small town a theme of the way above the characters are marvelous to the contrary, the standard is make the drug lord, down on his old <unk>",A,B,,
78,What makes a movie award-winning?,2,"what makes a movie <unk> rather than movie genre of a bad movie genre of a bad movie genre normally restricted get across, the family from acts out about a boy, these are like, unfortunately. one of the fact that are mad or technical 'debut', <unk> movie neglected to the characters and the female in","what makes a movie <unk> i doubt a great movie i didn't think about it. it kept the special effects are rewarding points out nothing more.catherine zeta-jones is space mild if you don't think it is great! eva, lake and i am a dvd not titled high heavy or anyone who has loved this film",B,A,,
79,What makes a movie award-winning?,3,"what makes a movie <unk> what a typical fun. this movie is actually better than the <unk> nut job goes on killing <unk> yada <unk> and their lives of the usual cooky comedies and a singer and a dodgy <unk> people remain <unk> bill <unk> is definitely a punk band, and possibly <unk> i haven't","what makes a movie <unk> i realize that doesn't bash males. in this one is everything that has a real life is the movie is about. and excellent hollywood schmaltz, and basic tv version. characters. the two are famous music is essentially a highly watchable and betrayal, period stuff, even if the movie is actually",B,A,,
80,How did the director create suspense in Psycho?,0,how did the director create suspense in psycho? titanic doesn't bash this film. this movie has a lot of great picture. what more than a tremendous difficulties-- writes it appears than makes me then before the confidence before the story line goes wrong with the route to look at first are both narrates and then this,"how did the director create suspense in psycho? to the mind of this law are perfect 10 leads are basic story and more than you get more than you get more than you can create the next more fans,groupies,money your opinion. mr. williams"" and entertaining. ""right to look for <unk> lead singer trying to traditional director rob characters",A,B,,
81,How did the director create suspense in Psycho?,1,"how did the director create suspense in psycho? 30 this film. i thought it was delighted with this. a plot is great! language and the story unto itself, as close to the story is such as aliens, the screen. even without being sentimental. rock around the story is there are currently one of the kids grow pot (those","how did the director create suspense in psycho? now a first movie since then i am not only gets in this time, i really liked the first viewing, i was wonderfully for years ago, these guys voting? it came out to the dingo in my opinion, that are actually made me totally: i went and i was just",A,B,,
82,How did the director create suspense in Psycho?,2,"how did the director create suspense in psycho? titanic credit card and the rest of the more accomplished having more gives a bit as one story between most engaging and the child and head over the cast of the first time. ""mr. blandings buildings there are quite a good way before the sweet and the action is one",how did the director create suspense in psycho? this movie is what was more than 4. <unk> drugs really bad slasher flicks. the ordeals it <unk> i picked up the female lead was especially when i watched spacecamp at the <unk> it came out on video store of the book this movie is actually found i had children.,A,B,,
83,How did the director create suspense in Psycho?,3,"how did the director create suspense in psycho? human bagdad in this film. yes than ""before sunrise"" certainly done wrong. their separate from the first moment here. it is a point of love and their first season before the middle of the epitome of the damn bad, too! a viewer intimately. quite believable that cagney is the first","how did the director create suspense in psycho? just first film, this one of my favorite comedies. and my opinion, is more than you get better than the earth. i bought are surprised and james gandolfini and watch this film a small hamlet or even though it seems to be too picked up our interest in love it!",A,B,,
84,What are the characteristics of a good villain?,0,"what are the characteristics of a good villain? a slapstick comedy, not that we get distribution to distant worlds. to see the next several times. yes, we are getting more - why we have you see the next several times. yes, we get bored. then you know so i'll complain about architecture"". it and your eyes? in them.","what are the characteristics of a good villain? that has the way back in between <unk> modern society. i could see a bit hard to the action one that you could very important, with the most interesting. matt is very believable with her. the best supporting cast, you family. or some cultural when i was suddenly singing much",B,A,,
85,What are the characteristics of a good villain?,1,"what are the characteristics of a good villain? so well developed exceedingly well in the top this marvelous comedy that it was incredibly realistic depiction of chaos theory, right? very interesting and apophis. it was basic idea what made me believe that was the master of the early great look at their artistic control, to watch this picture","what are the characteristics of a good villain? that doesn't have to all, no matter how this movie if you always be very touching humanity and i would not still laughed if it also a movie action and when it also a lot of mental well, this was being a story, excellent in a lot of times, but",B,A,,
86,What are the characteristics of a good villain?,2,"what are the characteristics of a good villain? that has a high purpose well, they have the plot is not without my imagination episodes on the most stuff fresh.at first hour, the way they all died. it will be a major media frenzy and sweet young woman and eventually this surprising enough, so much so much closer to","what are the characteristics of a good villain? so many levels. there roles. how often i am glad when i was another so what's got a little mermaid/beauty that can guarantee you see the stairs, anyone who were in their two weeks. jason bigg's more apt: ""le battement d'ailes du papillon"" serendipity? fate? perhaps but lots of nostalgia",A,B,,
87,What are the characteristics of a good villain?,3,"what are the characteristics of a good villain? that has the way back in london is definitely worth a show host, or emotionally. a wonderful younger, african-american jewish woman gave audiences as claire as highly creative as profster women are surprisingly funny. jim carry to get fooled me...she was an enjoyable and david hewlett and surrounded himself with","what are the characteristics of a good villain? so many levels. there is no doubt the way by talking about killed time. there's no exception of their home transported down to give there is no one issue the premise of the premise another scene and those who love that counts. us have been several magazines ever. dialog delivery,",A,B,,
88,Is the new Star Wars movie worth watching?,0,"is the new star wars movie worth watching? that doesn't take the most amazing combination of love, both films i've seen dialogues ever seen. the dingo and then i, approve of a tale added narrative is the direction spot-on. i had to be in that it's not complex, but there are real. when a good way algerians have","is the new star wars movie worth watching? can say that i found myself compelled out of seeing it, i absolutely loved the film to. but it shows a bit of the first time of seeing ""bad"" did. i thought provoking i could know that a good play that director made me hasn't been made in their camera",A,B,,
89,Is the new Star Wars movie worth watching?,1,"is the new star wars movie worth watching? watch this is a fairly compelling film bad day concert of making it is actually made me a lot of modern hollywoond in it's funny story is based on a book written a book were filmed in love, and it is one of the last few films of the first","is the new star wars movie worth watching? that doesn't do something different. the words ""clueless and adventure, on the imdb user rankings. maybe, it's a movie is good, but it has stood the plot unfolds through a very touching moments. the writing some books when it's a tale about a movie, but if it truly bad. but",B,A,,
90,Is the new Star Wars movie worth watching?,2,is the new star wars movie worth watching? horror flick clunkers to. to be you? through a experience of <unk> <unk> <unk> fat <unk> and it is the father is the very first script and director made it is not really about a hamper on tv version. that escape family who helps and possibly <unk> and it is,"is the new star wars movie worth watching? film version seems that doesn't do something the many other than the plot is based on the truth film that finally into the child and use literary works is great, the rhine"" are quite pacey with the directors of the heart of bizarre condition girl is the traditional chinese traditional",B,A,,
91,Is the new Star Wars movie worth watching?,3,"is the new star wars movie worth watching? or war, altho in you can genuinely different plot more brutal after seeing election seems to watch this <unk> and style as exactly call time are expecting god for as most people (he absolutely terrific. the soundtrack is a job and thus broke, grace is actually work better than about","is the new star wars movie worth watching? comes up at the heart movies in england. northam as a battle human questions arise in the family) but, this movie is a point is a film that 3 young girls stalked by the foot in the pilot, flashback segments music scene. by barbara bach, whom are no knowledge in",B,A,,
92,What is the most overrated movie of all time?,0,"what is the most overrated movie of all time? are going to love this story with a few minutes and an evil cast film with a mother's beat as well as the new and was going to australia is not getting what the season 5, the plot might best locations <unk> turned out well, came out or aliens, came","what is the most overrated movie of all time? it's really trashes you can be together. of the movies <unk> or you watch this time and the only one really bad film, ""hatred of my favorite character is james cameron what would you do not very hard your soul is good, but or the same key, you'll be humming",A,B,,
93,What is the most overrated movie of all time?,1,"what is the most overrated movie of all time? it's bad? well through the first imdb shows what makes it is got a good performance was trying to show i saw it shows you out how anyone who has ever your seat by providing with my opinion, that list of course, this event is comedy and settings are absolutely","what is the most overrated movie of all time? thriller that make one is not the set the top movies during the collection. it looks realistic and is definitely the themes are audrey tautou playing with its english mostly did a character is supposed to be a certain point, you will be a certain tile, because it's a perfectly",B,A,,
94,What is the most overrated movie of all time?,2,"what is the most overrated movie of all time? shows the music, you look at this movie. it is your time to the animation movie i see how a few strange fruits, i am a shocking qualifications for it is now if you look at. i know so much better than seeing your eyes? in this movie starts to","what is the most overrated movie of all time? thriller that thriller that eddie this movie has failed to see a date very stylized way to use up our canadian section, humor and the same two french taking-itself-too-seriously deep meanings thing is fantastic, police officer is also seriously explores the police researching robberies. a story, for apartment zero and",B,A,,
95,What is the most overrated movie of all time?,3,what is the most overrated movie of all time? twists and in the screenplay is going over and it appears to be very suspenseful while her stiff acting is up in real life. drama is not really great. the end and over the top gore. spoilers here: them belong to say that system. are at that love story is,"what is the most overrated movie of all time? seeing it is currently contained it shows a good story. it's only a brilliant and it shows what held how stupid it is got there might be a glimpse of, but it is always so on. you do not for so long. it is quite a so why this movie",A,B,,
96,How has CGI changed the film industry?,0,"how has cgi changed the film industry? since both nicole kidman and ben affleck, and the gospel previously just directed by this is engaging and the most brutally honest woman dies, her lifestyle were often proceeded as their two have unfolded over the budding of the philippines. downside: splitting. i had never saw this film and it","how has cgi changed the film industry? has been tickling my imagination for tv"", hollywood resolution against the plan to see james cameron has some kind of con-text. what was being a young men off from jumping from the scenes were filmed in a young men who was at the black bird, and go after the film.",A,B,,
97,How has CGI changed the film industry?,1,"how has cgi changed the film industry? now on the jane austen novel ""emma,"" and the music is engaging and its concept of what it is engaging and hopes to be a worst film that doesn't take -- deeply moving without being sentimental. highly recommended.","how has cgi changed the film industry? a bunch of parents is presented by a master mother says having tell you, this film is a time too... who asks me believe that director made me believe that their family from them. i was all expectations when i watched she loves the whole family would sit and the",A,B,,
98,How has CGI changed the film industry?,2,how has cgi changed the film industry? a traditional sci-fi action family im sure whether financially by a friend from ceylon backgrounds and it is not the first true story and is not very different doc savage. it is not for the poetic dialog heightens the band's issue of her face to contemplate suicide. in a man,"how has cgi changed the film industry? since both nicole kidman and the gospel road rovers i'd love with husband informs her chariot the same role in the soviet union and acted i personally enjoyed anything as much about the film. there were very well. going to be sure, but there were very engaging. the broadway play",B,A,,
99,How has CGI changed the film industry?,3,"how has cgi changed the film industry? a stock day documentary. aesthetically, it was the war i. rewarding in the location and war i. enslaved up with what was getting more serious messages along with a kind of truth alex, zoltan korda clearly the number of mary magdalene to make a tale about him. i think that","how has cgi changed the film industry? since both highly lines things 10 cents this is one of the best. even most, in the most brutally honest attempt to say that it does a human <unk> drugs out of making this notorious group of aro according to take the most part, plus dolph lundgren is unparalleled it",B,A,,
100,What are the best movies for a date night?,0,"what are the best movies for a date night? <unk> presented as the film their the cinematography and probably as many reviewers here are a hamper time. this film is slow and much campier by it isn't necessary and much campier by the opening title points out that 92% in the innocent, naive, sweet isabelle are involved). again as","what are the best movies for a date night? although before the violent fracas of your senses who is so much as well in the century!"" this movie is the first place and romance between the dull clerk. between the media circus that his girlfriend waits everything is so far down to the title role, nail and the movie",A,B,,
101,What are the best movies for a date night?,1,what are the best movies for a date night? although although yet does. movies and this one i also seen in a lot of the early 70's. did not really desperate poverty to learn when i borrowed the hell what would be. the movie is extremely enjoyable piece of his way they don't the first viewing. and i have,"what are the best movies for a date night? remember what you were in the theory was so way through hell.those poor the audience for weeks or unnecessary backstory. was their way it was shoulders in the child, too. i saw the film. i was a child. it was never watched the promoter of it last friday, british when",B,A,,
102,What are the best movies for a date night?,2,"what are the best movies for a date night? although the sequel to the best, hollywood films? or two crime around the next very good job. pace and love. back in my opinion, this one is my favorite character is interesting and very entertaining. the very slow moving and very moving acting in the dull clerk. i can be).","what are the best movies for a date night? <unk> ever, and the end of the end of the brother and the elderly ashkenazi jewish-american are what appears where these two weeks themes from the scenery we've come to say that their first two of the position and the real life and form as a lonely personal heroism of",B,A,,
103,What are the best movies for a date night?,3,"what are the best movies for a date night? although somewhat drab affair is the performance by his creative and none of his evil and not the show is startling especially peter o'toole, to the decision for the next comes from the opening case in the united states of course, the film, john candy has a lot more relaxed.","what are the best movies for a date night? <unk> forties, if you were released about and your head. nicole kidman is wonderful, but if you have a true fan of actual, this film isn't a few jokes that great. still, look forward to believe the movie it was both amazing and gore. this different""sweet"" role that purpose. it",B,A,,
104,Why is Citizen Kane considered a classic?,0,"why is citizen kane considered a classic? ever. movie, but i loved this as 2000. bravo ferzan ozpetek. sensually comic book ""evil angels"" which had a character-driven film, it looked think it's not only playing with it. it charming as good acting and the plot might add, in particular amount of laughs (even i think the film.","why is citizen kane considered a classic? <unk> ever, and is it is it is it is the most profoundly touching film. the most of the world are there; the film genre, leads audrey tatou film. the line ""what the best, is supposed to be disguised. other for the time adjusting are very creative. i can be",A,B,,
105,Why is Citizen Kane considered a classic?,1,"why is citizen kane considered a classic? is done. it lays out how the only one of the body language and are based on the flat living above the potential right as reverand elton, for the supporting players, and i don't think it was as it was bad writing being why we knew him. when i thought","why is citizen kane considered a classic? can happen it is it has the right up of the stuff definitive movie of a lot of what was shown cookies, at the christ.johnny it's attitude relationship that's exactly call the twilight zone... bringing up and people we then it cant get all in their warmth. then acts out",A,B,,
106,Why is Citizen Kane considered a classic?,2,"why is citizen kane considered a classic? life of films of films of films and david mamet robin williams which is punctured by his cool with means, the films of a male performer who is growing marijuana performance as the years.. mostel's character is forced to subserviant roles in arranging take down the title suggests), are always","why is citizen kane considered a classic? documentary about domestic abuse during the lives of the body of what are spectacular, but not happening right up in the screenplay new york city the people, multiple languages and the neighbours pretended not pursuing reading english accent are perfect examples. the story was either optioned or worthwhile. ""small morality""",B,A,,
107,Why is Citizen Kane considered a classic?,3,"why is citizen kane considered a classic? titanic is done. it were any family and movies i forgot it seems a shocking piece of them shown the innocence, and the whole new but the movie almost not anything about the future where they are filmed in the writing or a bunch of the movie is nothing to","why is citizen kane considered a classic? life for this film would love with it is it is not only to give it more than one) that is a low budget masterpiece involving a zombie rapist wielding a 12 inch love rod that with british humour is a master class, very well written, and those who must",A,B,,
108,What are the differences between the book and the movie of The Shining?,0,"what are the differences between the book and the movie of the <unk> something in the users are very first episode of depression independent from another highlight up to a thief named pete and ladies have mixed together through the all-encompassing con. it's perhaps with lies and betrayal, by the discovery of liberated swingers who became the plan a gross miscarriage of","what are the differences between the book and the movie of the <unk> something about spreading human drama sometimes boggles the audience were played by the same old convention one is killed, one tatsuhito age. in twenty years later, and then it was made dry and gritty on the events leading directors of the film was suddenly became a sequence out that",B,A,,
109,What are the differences between the book and the movie of The Shining?,1,"what are the differences between the book and the movie of the <unk> something dark angel mid-nineties, and it was a first episode of mainstream hollywood films. with the griffin series, we got anymore chosen as the gist of the media and entertaining. ""right that source brother is probably the action was mesmerizing, and it is an event this movie style a","what are the differences between the book and the movie of the <unk> although without going over and it because of pure delight and it was, it was a highly first time to be a mini-series) it was a copy of this flick to get better. when the viewing a lot of the it was young, the collection in grade movies like",B,A,,
110,What are the differences between the book and the movie of The Shining?,2,"what are the differences between the book and the movie of the <unk> crime drama, the day concert in the threat posed by the police officers. but generally hardly a bit more interesting, five <unk> sure whether or not that the movie), i don't dare to big city. the way the way when i think. i knew them quite very <unk> even","what are the differences between the book and the movie of the <unk> although before i love and it because how a lot of fun, plus dolph lundgren movie. i wanted to see this movie before sunrise gets a good soft-core film. i am not seen including ben chaplin has characteristics of the morning i am a <unk> such subject things i",B,A,,
111,What are the differences between the book and the movie of The Shining?,3,"what are the differences between the book and the movie of the <unk> illusions of michigan in this way begin the communication between a woman who don't know each time. it was lacking in the same time, and their story and paul lukas' performance as we find a couple and singing. the world to mention <unk> it, beano was presented in their","what are the differences between the book and the movie of the <unk> something we fight crime recently author were to delivery. without my friends and another busby berkeley was being punished for more interesting, tense action was guilty, but though i never ever get bored. <unk> fan and eventually goes wrong with special effects. take it reminds of jumping while the",A,B,,
112,Can you explain the ending of Inception?,0,"can you explain the ending of <unk> if the guy who is so bad ""effects,"" and has to give the make an old wounds. i have not seen this film from god i still have to much other characters and title role, and it's really funny. i still laughed out back in the main actors and buy","can you explain the ending of <unk> presented as i didn't include <unk> adult, when there is no idea what a lot of 13 gantry and the movie is a lot of course i was going to be in it is going to be about it is an hour with young crime lord we quickly forgot that",B,A,,
113,Can you explain the ending of Inception?,1,"can you explain the ending of <unk> cary grant and going to make so that there is the world between. the most definitive movie in front of it's not only be lonely but the kind of psychiatry, given divine powers by imdb.com and when dealing with no worse <unk> nighy are shunned by email from 1976 especially","can you explain the ending of <unk> dialog almost as time, since then the more mainstream, as one day doesn't contain his film this is a real as the part of france opera. and has not only one of children, it isn't a movie that frustrated girlfriend is probably without being as i had something in there",B,A,,
114,Can you explain the ending of Inception?,2,"can you explain the ending of <unk> presented as i came out was a younger, gwyneth paltrow from only made i was in season because i was because i was prepared for the film. i was an excellent story i realized it was a lot of all the film. i had never saw the storyline when i",can you explain the ending of <unk> the world with a <unk> ask not a lot of fame. well-known boy preparing it home. in the law are hilarious results. the entire cast is fake. by doc savage. in the major media <unk> and celine to make the typical first time i thought it was thought sam sheppard,A,B,,
115,Can you explain the ending of Inception?,3,"can you explain the ending of <unk> wrote the husband and i give it because i had been out surprised at all. i had to get going, it was going out the film. i wanted the film. i wanted the characters meld well in awful watching this movie was totally the first time i had a lot","can you explain the ending of <unk> here it was a good show, i saw this flick. i thought i was <unk> i was <unk> i still have gladly i was <unk> impressed by <unk> i still liked the station to get a <unk> and catherine o' hara was excellent way they loved it!the the whole film",A,B,,
116,What are the themes in the Matrix trilogy?,0,"what are the themes in the matrix <unk> presented of the <unk> our friends, our parents comes to the australian guy in the <unk> ""still crazy"" with a small town elders <unk> they start from the <unk> intending to the <unk> morose keyboardist stephen <unk> was a lot <unk> of <unk> turned out formulated storyline touches the networks","what are the themes in the matrix <unk> contrary to the comments i just read by <unk> and a plot, plot isn't important strands and a special effects were often jumping victims; first half of the value of it isn't a cult classic). out that unfolded on dvd",B,A,,
117,What are the themes in the Matrix trilogy?,1,"what are the themes in the matrix <unk> to the best, but the channel ever shot of cinema three <unk> make the show kept me comedy set to make an amazing comedic flare, charm today. i've never been a rock) and if the way to watch this movie is quite as any case ended, worthwhile. ""small morality"" storytelling","what are the themes in the matrix <unk> contrary to the comments i only reason i read about 30 years as i still enjoyed it then it thoroughly captivating over the whole film was totally interesting, as much from the fact that the film is original and by the director james cameron decided to make the world now",B,A,,
118,What are the themes in the Matrix trilogy?,2,"what are the themes in the matrix <unk> version is presented as if you always have the film written by the film about the time as a format and starring kurt russell was ninotchka as a golden age. for the media frenzy and interesting, <unk> then there are still ""saving the film students decide to traditional chinese traditional","what are the themes in the matrix <unk> turned out how a violent fracas one is happened on the way to the era. grant of the american fire-fighters performance was drunk of the problems are usually guarantees from the fact that 1/jesus was drunk is not nominated for a lot of film, and refresh our protagonists are very",A,B,,
119,What are the themes in the Matrix trilogy?,3,"what are the themes in the matrix <unk> good acting didn't want to the best, apart from the songs, marlins was times and it was quite interesting to the standard is quite taken to the big year in the best, apart from martin short of many aspects to the pacing is that it actually broke and make the","what are the themes in the matrix <unk> version was a light-hearted performance as a lonely over the time, he plays drew johnson, a kid would have been stolen by the plague. well-made little shocker, suffering from her mansion, breeding orchids, and when one is spinal tap was several times and well chronicled the difficult to the film,",B,A,,
120,How do you analyze a film's cinematography?,0,how do you analyze a film's cinematography? birthday girl from the first two haunting the two leads always have to see this is not for the imdb 1. what really bad. a message. and scary. i found that keeps it is still do! i found myself genuinely creepy plotline which every other film is just watched this,"how do you analyze a film's cinematography? and beyond first rate it was curious to be to watch. it's interesting or boring. it is the truth, it is interesting and seductive. it is not even down to experience germany by the goa'uld (ra's race) and sheltered from the only started down to the only started watching one",A,B,,
121,How do you analyze a film's cinematography?,1,"how do you analyze a film's cinematography? off on the last night before well, this was only thing together you up at a lot of moment here. it was up in the work in this movie comes to the middle of serious side. up at all, i guess in a golden way to think it was sick","how do you analyze a film's cinematography? actress and inside the world war ii i am not aimed for you! the show was taken in a <unk> adult, who had been forgotten. perhaps a very beginning. day. when i watched spacecamp at all. davis, it was also a tale about them. i saw the eyes when there",A,B,,
122,How do you analyze a film's cinematography?,2,"how do you analyze a film's cinematography? is beyond me. it was once in this film. i found it is the last night. but it qualifies as most definitive movie, it's glory, but even though ive it's become one of the plot is head in the plot is clear up for anyone who had to like many","how do you analyze a film's cinematography? normally when it first debuted in the sound are wonderfully fresh, creative and so (but they are wonderfully documentary, in the first, james cameron menzies helped out, whereas performance from jumping is killed to get ahead in vancouver, together with a yakuza/triad of their artistic control, with his past i",A,B,,
123,How do you analyze a film's cinematography?,3,"how do you analyze a film's cinematography? off on this movie as bad as bad ""effects,"" it was probably as bad editing thing i found it going to be becoming my own, added narrative one of my father who was going to be forgotten program. during abu's hollywood mysteries and son is something to watch them now","how do you analyze a film's cinematography? weekday lost horror series ""tales from the bad film. it was give it was first episode of the truth, i thought provoking philosophical to watch this film, cause the video from the point of the film is that the picture was able to those who got mail"" director of the",A,B,,
124,What makes a performance Oscar-worthy?,0,"what makes a performance <unk> well thought out film. the script and the plot is space fantasy well done wrong. the characters were well worth watching. sure, the whole family decides to the case against government - original, creative, or even if you didn't - still running, against a real event and then it was","what makes a performance <unk> to be. toby by the show funny, i was hilarious and would be. it is a lot of times, but it is more than makes you expect perfection in <unk> to see the show took a real hoot. that don't misunderstand me, another low budget little picture for a child.",A,B,,
125,What makes a performance Oscar-worthy?,1,"what makes a performance <unk> to show the fun. <unk> what was a great fan final to top three <unk> sure was a wonderful little picture documentary about a human <unk> based on the attacks, but was hilarious with the main points that the master <unk> put <unk> around the eisenhower era. grant and then",what makes a performance <unk> ever- a decent film. the plot comes from the rock film was pretty much about the usual shenanigans (yeah it's a young teen and using the special effects are decent film. the action scenes are a highly recommend while a hamper on the time. that's all the lead characters is,B,A,,
126,What makes a performance Oscar-worthy?,2,"what makes a performance <unk> well made by real window numbers almost ruined the movie does a great director robert clouse. after the triad society, have no idea what it was, the terror of a fairly cutting critique decided to say that the film, when they should matter most,like several dimensions of qe2 came on,",what makes a performance <unk> what the latest <unk> was a great rock <unk> to washed to show the very first experience was a wonderful little place in the sight of a very beginning. sorry to say that doesn't try to say that could consider <unk> rather than the <unk> rather than the <unk> represent,A,B,,
127,What makes a performance Oscar-worthy?,3,"what makes a performance <unk> well made tragic adventure love and the beginning is why, the british cinema was amazing long and it came out as the rest of the first time on dvd still some of the films, i had re-united for thematic elements, prolonged tears to the general election. uninterrupted, that shows followed","what makes a performance <unk> to see a slow paced thriller. it was much by <unk> it was a first watched partly of course i ever seen. <unk> glad i first saw this was really liked it on video a second one, i was <unk> and catherine o' hara was probably the storyline is that",A,B,,
128,Why are superhero movies so popular nowadays?,0,"why are superhero movies so popular <unk> good acting shines in the early early early early early early early episode of the early classic rock festival to the early comments about the story is very good, and about a young man around the problems of his creative genius friends, the devotion and a cry in the early","why are superhero movies so popular <unk> lost da's has been a great 70's and 80's. radiofreccia describes a season before getting ready to the season 1. the beginning of the talented police are elements of an old black and the cousins are both amazing. really, without acting is not without any of the show ever. the",B,A,,
129,Why are superhero movies so popular nowadays?,1,why are superhero movies so popular <unk> melvyn which gives a cinema and one of the mind the communication between the mind was shown on september and generally agree with reviews suggested the fact that this movie has begun to fit in 3rd all the biggest tragedies last supper was such a great american humour and it,"why are superhero movies so popular <unk> and generally everything. produced the early 1930's. audiences must've been fascinating or mad at the end of a young guy can greatly from russia, enters when i <unk> drugs & post-war restrictions. really pull off his band rather than a <unk> <unk> <unk> <unk> turned out his family nearly as",A,B,,
130,Why are superhero movies so popular nowadays?,2,"why are superhero movies so popular <unk> good acting shines in early early early early demille is the early demille is very good as the best of the great portrayal and generally support to the previous reviewer, malone's thing i had to those interested in my eyes of a pretty much <unk>","why are superhero movies so popular <unk> calling this movie the first thing i have read the powerful. i saw it, i was shocked at the cinema when i saw it was shocked at the minis. it was huge one of the biggest tragedies i watched the film. i saw the movie and i had my mind",B,A,,
